Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1021-0025,SOUTH,Domasi Rural Hospital,Rural hospital - MoH,160,8,152,4
1021-0026,SOUTH,Parker Sharp,Health centre - CHAM,24,3.08,20.92,4
1021-0027,SOUTH,Zomba Police,Hospital - Private,55,2.6,52.4,4
1021-0028,SOUTH,Zomba City Clinic,Health centre - MoH,55,14.49,40.51,4
1021-0029,SOUTH,Chancellor College,Dispensary - Local Government,24,2.08,21.92,4
1021-0030,SOUTH,Zomba Banja La Mtsogolo,Health centre - Private,55,1.66,53.34,4
1021-0031,SOUTH,State House,Dispensary - Local Government,55,0.08,54.92,4
1021-0032,SOUTH,Thondwe,Health centre - MoH,160,18.15,141.85,4
1021-0033,SOUTH,Naisi,Health centre - MoH,55,4.96,50.04,4
1021-0034,SOUTH,Chawe Forest,Health centre - Private,24,0.15,23.85,4
1021-0035,SOUTH,Matiya,Health centre - CHAM,16,11.49,4.51,4
1021-0036,SOUTH,Matawale,Health centre - MoH,105,5.95,99.05,4
1021-0037,SOUTH,Chisi,Health centre - MoH,24,1.4,22.6,4
1021-0038,SOUTH,Chinguma,Health post - MoH,24,0.61,23.39,4
1021-0039,SOUTH,Ngotangota,Health post - MoH,24,0.4,23.6,4
1021-0040,SOUTH,Chisoni,Health post - MoH,24,0.23,23.77,4
1022-0001,SOUTH,South Regional vaccine store,Regional vaccine store,5638.5,6084.87,-446.37,2
1022-0002,SOUTH,CHILOMONI,Health centre - MoH,55,43.4,11.6,3
1022-0003,SOUTH,Mitsidi Health Centre,Health centre - CHAM,24,25.28,-1.28,2
1022-0004,SOUTH,Sanjika dispensary,Dispensary - MoH,24,0.21,23.79,4
1022-0005,SOUTH,Ndirande Health Centre,Health centre - MoH,105,67.15,37.85,4
1022-0006,SOUTH,Soche health centre,Health centre - MoH,60,5.02,54.98,4
1022-0007,SOUTH,Madziabango,Health centre - MoH,24,3.35,20.65,4
1022-0008,SOUTH,St Vincent,Health centre - CHAM,24,4.86,19.14,4
1022-0009,SOUTH,Mpemba,Health centre - MoH,105,18.97,86.03,4
1022-0010,SOUTH,Bangwe,Health centre - MoH,105,68.67,36.33,4
1022-0011,SOUTH,Limbe Health Centre,Health centre - MoH,160,36.42,123.58,4
1022-0012,SOUTH,Chimembe Health Centre,Health centre - MoH,24,6.87,17.13,4
1022-0013,SOUTH,Chabvala Health Centre,Health centre - MoH,24,4.61,19.39,4
1022-0014,SOUTH,Chikowa Health Centre,Health centre - MoH,55,10.38,44.62,4
1022-0015,SOUTH,Dziwe Health Centre,Health centre - MoH,55,5.55,49.45,4
1022-0016,SOUTH,Chileka SDA Clinic,Health centre - CHAM,55,7.95,47.05,4
1022-0017,SOUTH,Chileka Health Centre,Health centre - MoH,131,8.95,122.05,4
1022-0018,SOUTH,Pensulo health centre,Health centre - MoH,24,2.35,21.65,4
1022-0019,SOUTH,Zingwangwa health centre,Health centre - MoH,165,44.83,120.17,4
1022-0020,SOUTH,Kanjedza Police,Health centre - Private,55,1.05,53.95,4
1022-0021,SOUTH,Mlambe mission hospital,Hospital - CHAM,55,19.94,35.06,4
1022-0022,SOUTH,Makata health centre,Health centre - MoH,55,12.62,42.38,4
1022-0023,SOUTH,Lirangwe health centre,Health centre - MoH,24,9.3,14.7,4
1022-0024,SOUTH,Namikoko health centre,Health centre - MoH,24,2.33,21.67,4
1022-0025,SOUTH,Lundu health centre,Health centre - MoH,55,6.94,48.06,4
1022-0026,SOUTH,Mdeka heath centre,Health centre - MoH,76,10.16,65.84,4
1022-0027,SOUTH,Souyh Lunzu health centre,Health centre - MoH,55,28.21,26.79,4
1022-0028,SOUTH,Blantyre DHO Vaccine store,District vaccine store,544,64,480,4
1022-0029,SOUTH,Qeen Elizabeth Central Hospital,Central hospital - MoH,55,70.02,-15.02,1
1022-0030,SOUTH,Blantyre Adventist hospital,Hospital - Private,55,3.22,51.78,4
1022-0031,SOUTH,Soche SDA Clinic,Health centre - CHAM,55,0.23,54.77,4
1022-0032,SOUTH,Kanjedza Medical Clinic,Health centre - Private,55,0.31,54.69,4
1022-0033,SOUTH,Lafarge Cement Clinic,Health centre - Private,55,0.21,54.79,4
1022-0034,SOUTH,Blantyre City Assembly Clinic,Health centre - Private,110,117.1,-7.1,2
1022-0035,SOUTH,Malabada health centre,Health centre - CHAM,0,0.95,-0.95,0
1022-0036,SOUTH,Mtengo umodzi private hospital,Hospital - Private,55,0.12,54.88,4
1022-0037,SOUTH,Lunzu BLM Clinic,Health centre - Private,55,2.81,52.19,4
1022-0038,SOUTH,Blantyre DHO Mobile Clinic,District hospital - MoH,60,8.57,51.43,4
1022-0039,SOUTH,Ebenezer Private Clinic,Health centre - Private,55,0.38,54.62,4
1022-0040,SOUTH,Elimu Private Clinic,Health centre - Private,55,0.38,54.62,4
1022-0041,SOUTH,Family health Clinic,Health centre - Private,0,4.37,-4.37,0
1022-0042,SOUTH,Lungu Private Clinic,Health centre - Private,55,3.3,51.7,4
1022-0043,SOUTH,Malamulo Day Clinic,Health centre - Private,55,3.81,51.19,4
1022-0044,SOUTH,Mwaiwathu Private Hospital,Hospital - Private,55,3.27,51.73,4
1023-0000,SOUTH,Chikhwawa District Vaccine Store,District vaccine store,105,149.92,-44.92,1
1023-0001,SOUTH,Chikwawa District Hospital,District hospital - MoH,0,10.99,-10.99,0
1023-0002,SOUTH,Kasinthula Health Centre,Health centre - MoH,55,4.14,50.86,4
1023-0003,SOUTH,Dolo Health Centre,Health centre - MoH,55,13.31,41.69,4
1023-0004,SOUTH,Thendo Health Post,Health post - MoH,0,1.05,-1.05,0
1023-0005,SOUTH,Konzere Health Post,Health post - MoH,0,1.35,-1.35,0
1023-0006,SOUTH,Mgabu Rural Hospital,Rural hospital - MoH,60,20.21,39.79,4
1023-0007,SOUTH,Montfort Rural Hospital,Hospital - CHAM,105,24.23,80.77,4
1023-0008,SOUTH,Kakoma Health centre,Health centre - MoH,55,7.67,47.33,4
1023-0009,SOUTH,Misomali Health Centre,Health centre - CHAM,0,2.7,-2.7,0
1023-0010,SOUTH,Chapananga Health Centre,Health centre - MoH,0,4.81,-4.81,0
1023-0011,SOUTH,Bereu Dispensary,Dispensary - MoH,55,5.73,49.27,4
1023-0012,SOUTH,Chithumba Health Centre,Health centre - MoH,0,3.99,-3.99,0
1023-0013,SOUTH,Gaga Health Centre,Health centre - MoH,18,5.71,12.29,4
1023-0014,SOUTH,Chang'ambika Health Centre,Health centre - MoH,55,2.58,52.42,4
1023-0015,SOUTH,Gola Health Centre,Health centre - MoH,85,2.1,82.9,4
1023-0016,SOUTH,Ndakwera Health Centre,Health centre - MoH,55,5.73,49.27,4
1023-0017,SOUTH,Mandrade Health Post,Health post - MoH,55,2.35,52.65,4
1023-0018,SOUTH,Illovo Factory,Health centre - Private,55,0.62,54.38,4
1023-0019,SOUTH,Kalulu Clinic,Health centre - Private,55,1.37,53.63,4
1023-0020,SOUTH,Mwanza Clinic,Health centre - Private,55,1.34,53.66,4
1023-0021,SOUTH,Mangulenje Clinic,Health centre - Private,55,1.01,53.99,4
1023-0022,SOUTH,Mkombezi clinic,Health centre - Private,55,0.88,54.12,4
1023-0023,SOUTH,Alimenda Clinic,Health centre - Private,55,1,54,4
1023-0024,SOUTH,Lengwe Clinic,Health centre - Private,55,0.53,54.47,4
1023-0025,SOUTH,Chipwaira Health Centre,Health centre - MoH,55,8.39,46.61,4
1023-0026,SOUTH,Therere Health Post,Health post - MoH,0,3.76,-3.76,0
1023-0027,SOUTH,Mkumaniza Health Centre,Health centre - MoH,55,4.05,50.95,4
1023-0028,SOUTH,Kapichira Clinic,Health centre - Private,55,1.42,53.58,4
1023-0029,SOUTH,Mfera Health Centre,Health centre - MoH,55,9.86,45.14,4
1023-0030,SOUTH,Mapelera Health Health,Health centre - MoH,55,4.5,50.5,4
1023-0031,SOUTH,Mkhathe Health Post,Health post - MoH,0,5.25,-5.25,0
1023-0032,SOUTH,Makhwira Health Centre,Health centre - MoH,55,19.93,35.07,4
1023-0033,SOUTH,Mitondo Health Post,Health post - MoH,55,8.28,46.72,4
1023-0034,SOUTH,Kavalo Health Post,Health post - MoH,0,1.49,-1.49,0
1023-0035,SOUTH,Kubalalika Health Post,Health post - MoH,0,2.53,-2.53,0
1023-0036,SOUTH,Saopa Health Post,Health post - MoH,0,1.89,-1.89,0
1023-0037,SOUTH,Hunger Project Health Post,Health centre - Private,55,9.02,45.98,4
1023-0038,SOUTH,Mafale Dispensary,Dispensary - MoH,0,3.62,-3.62,0
1024-0000,SOUTH,CHIRADZULU DISTRICT VACCINE STORE,District vaccine store,275,99.38,175.62,4
1024-0001,SOUTH,CHIRADZULU DISTRICT HOSPITAL,District hospital - MoH,55,8.55,46.45,4
1024-0002,SOUTH,St JOSEPH MISSION HOSPITAL,Hospital - CHAM,60,15.59,44.41,4
1024-0003,SOUTH,PIM CHAM HEALTH CENTRE,Health centre - CHAM,55,6.79,48.21,4
1024-0004,SOUTH,NDUNDE HEALTH CENTRE,Health centre - MoH,24,5.96,18.04,4
1024-0005,SOUTH,MILEPA HEALTH CENTRE,Health centre - MoH,55,5.49,49.51,4
1024-0006,SOUTH,MAUWA HEALTH CENTRE,Health centre - MoH,55,7.18,47.82,4
1024-0007,SOUTH,MBULUMBUZI HEATH CENTRE,Health centre - MoH,24,5.47,18.53,4
1024-0008,SOUTH,CHITERA HEALTH CENTRE,Health centre - MoH,55,4.83,50.17,4
1024-0009,SOUTH,NAMADZI HEALTH CENTRE,Health centre - MoH,170,8.29,161.71,4
1024-0010,SOUTH,BILALO PVT CLINIC,Health centre - Private,55,6.75,48.25,4
1024-0011,SOUTH,MWANJE HEALTH POST,Health post - MoH,24,3.75,20.25,4
1024-0012,SOUTH,THUMBWE HEALTH CENTRE,Dispensary - MoH,79,9.07,69.93,4
1024-0013,SOUTH,NAMITAMBO HEALTH CENTRE,Health centre - MoH,55,12.76,42.24,4
1024-0014,SOUTH,NKALO HEALTH CENTRE,Health centre - MoH,79,11.28,67.72,4
1025-0000,SOUTH,Mwanza District Hospital,District hospital - MoH,0,16.55,-16.55,0
1025-0001,SOUTH,Thambani Health Centre,Health centre - MoH,55,5.49,49.51,4
1025-0002,SOUTH,Mwanza District Vaccine Store,District vaccine store,189,31.56,157.44,4
1025-0003,SOUTH,Kunenekude Health Centre,Health centre - MoH,55,4.29,50.71,4
1025-0004,SOUTH,Tulonkhondo Health Cetre,Health centre - MoH,55,5.11,49.89,4
1026-0000,SOUTH,Matandani,Health centre - CHAM,24,3.09,20.91,4
1026-0001,SOUTH,Nsabwe,Health centre - CHAM,55,6.53,48.47,4
1026-0002,SOUTH,Ligowe,Dispensary - MoH,24,5.04,18.96,4
1026-0003,SOUTH,Magaleta,Health centre - MoH,24,2.47,21.53,4
1026-0004,SOUTH,Chifunga,Health centre - MoH,55,3.94,51.06,4
1026-0005,SOUTH,Nkula Health Centre,Health centre - Private,55,0.7,54.3,4
1026-0006,SOUTH,Luwani Health Centre,Health centre - MoH,55,0.76,54.24,4
1026-0007,SOUTH,NENO DHO,District hospital - MoH,76,5.5,70.5,4
1026-0008,SOUTH,Neno Parish,Health centre - CHAM,55,4.46,50.54,4
1026-0009,SOUTH,Lisungwi,Rural hospital - MoH,55,5.75,49.25,4
1026-0010,SOUTH,Matope,Health centre - CHAM,55,5.35,49.65,4
1026-0011,SOUTH,Midzemba,Dispensary - MoH,55,4.75,50.25,4
1026-0012,SOUTH,Neno DHO,District vaccine store,76,37.69,38.31,4
1027-0001,SOUTH,Nsanje District Hospital,District hospital - MoH,76,12.47,63.53,4
1027-0002,SOUTH,Nsanje District Vaccine Store,District vaccine store,210,82.64,127.36,4
1027-0003,SOUTH,Mbenje Health Centre,Health centre - MoH,75,7.48,67.52,4
1027-0004,SOUTH,Ndamera Health Centre,Health centre - MoH,75,6.7,68.3,4
1027-0005,SOUTH,Kamphata Health Post,Health post - MoH,0,2.74,-2.74,0
1027-0006,SOUTH,Nkhande Health Post,Health post - MoH,55,2.1,52.9,4
1027-0007,SOUTH,Lulwe Health Centre,Health centre - CHAM,55,2.26,52.74,4
1027-0008,SOUTH,Chingoma Health Post,Health post - MoH,0,2.43,-2.43,0
1027-0009,SOUTH,Chididi Health Centre,Health centre - CHAM,18,3.72,14.28,4
1027-0010,SOUTH,MKANGO HEALTH CENTRE,Health post - MoH,55,3.51,51.49,4
1027-0011,SOUTH,TENGANI HEALTH CENTRE,Health centre - MoH,45,8.43,36.57,4
1027-0012,SOUTH,NYAMITHUTHU HEALTH CENTRE,Health centre - MoH,55,2.96,52.04,4
1027-0013,SOUTH,PHOKERA HEALTH CENTRE,Health centre - MoH,55,3.28,51.72,4
1027-0014,SOUTH,KALEMBA COMMUNITY HOSPITAL,Community hospital - CHAM,60,8.19,51.81,4
1027-0015,SOUTH,SORGIN HEALTH CENTRE,Health centre - MoH,24,5,19,4
1027-0016,SOUTH,MITSAMVU HEALTH CENTRE,Health post - MoH,55,1.46,53.54,4
1027-0017,SOUTH,Kanyimbi,Health post - MoH,0,1.46,-1.46,0
1027-0018,SOUTH,Makhanga,Health centre - MoH,55,4.96,50.04,4
1027-0019,SOUTH,SANKHULANI HEALTH HEALTH CENTRE,Health centre - MoH,55,2.21,52.79,4
1027-0020,SOUTH,MCHACHA HEALTH CENTRE,Health post - MoH,55,2.17,52.83,4
1027-0021,SOUTH,TRINITY MISSION HOSPITAL,Hospital - CHAM,165,6.96,158.04,4
1027-0022,SOUTH,MULOLO HEALTH CENTRE,Health post - MoH,55,2.78,52.22,4
1027-0023,SOUTH,MASENJERE HEALTH CENTRE,Health centre - MoH,55,5.2,49.8,4
1028-0000,SOUTH,Thyolo District Hospital Vaccine Store,District vaccine store,79,203.04,-124.04,0
1028-0001,SOUTH,Thyolo DHO,District hospital - MoH,24,24.57,-0.57,2
1028-0002,SOUTH,Mangunda,Health centre - MoH,55,18.05,36.95,4
1028-0003,SOUTH,Mafis,Health centre - Private,0,0.8,-0.8,0
1028-0004,SOUTH,Khonjeni,Health centre - MoH,55,10.45,44.55,4
1028-0005,SOUTH,Makapwa,Health centre - Private,55,3.47,51.53,4
1028-0006,SOUTH,Mitengo,Health centre - CHAM,45,4.94,40.06,4
1028-0007,SOUTH,Bvumbwe,Health centre - MoH,37.5,18.9,18.6,4
1028-0008,SOUTH,Chimvu,Health centre - MoH,37.5,5.98,31.52,4
1028-0009,SOUTH,Mikolongwe,Health centre - MoH,17,9.17,7.83,4
1028-0010,SOUTH,Chingazi,Community hospital - CHAM,55,2.86,52.14,4
1028-0011,SOUTH,Chitsoka,Rural hospital - MoH,24,6.72,17.28,4
1028-0012,SOUTH,Chimaliro,Health centre - MoH,55,14.77,40.23,4
1028-0013,SOUTH,Satemwa,Health centre - Private,55,2.76,52.24,4
1028-0014,SOUTH,Namingomba,Health centre - Private,37.5,2.1,35.4,4
1028-0015,SOUTH,Mindali,Health centre - Private,24,0.53,23.47,4
1028-0016,SOUTH,Thunga,Health centre - Private,24,0.71,23.29,4
1028-0017,SOUTH,Kasembeleka,Health centre - Private,24,0.53,23.47,4
1028-0018,SOUTH,Mianga,Health centre - MoH,55,0.4,54.6,4
1028-0019,SOUTH,Mtambanyama,Health centre - CHAM,24,4.63,19.37,4
1028-0020,SOUTH,Sambankhanga,Health centre - Private,24,0.67,23.33,4
1028-0021,SOUTH,Makwasa,Health centre - Private,0,0.39,-0.39,0
1028-0022,SOUTH,Malamulo,Hospital - CHAM,76,12.73,63.27,4
1028-0023,SOUTH,ST Martins,Health centre - CHAM,55,7.31,47.69,4
1028-0024,SOUTH,Malosa Health Post,Health post - MoH,37.5,1.47,36.03,4
1028-0025,SOUTH,Changata,Health centre - MoH,55,7.22,47.78,4
1028-0026,SOUTH,Nsabwe,Health centre - MoH,24,2.71,21.29,4
1028-0027,SOUTH,Gombe,Health centre - MoH,55,4.47,50.53,4
1028-0028,SOUTH,Nkhataombere,Health post - MoH,37.5,3.69,33.81,4
1028-0029,SOUTH,Chisinkha,Health post - MoH,85,1.48,83.52,4
1028-0030,SOUTH,Makungwa,Health centre - MoH,76,6.04,69.96,4
1028-0031,SOUTH,Dzimbiri,Health post - MoH,55,8.08,46.92,4
1028-0032,SOUTH,Thomas,Health centre - CHAM,55,7.69,47.31,4
1028-0033,SOUTH,Chisunga,Health centre - Private,55,1.23,53.77,4
1028-0034,SOUTH,Amalika,Dispensary - MoH,24,11.04,12.96,4
1028-0035,SOUTH,Nangumi,Health post - MoH,85,0.76,84.24,4
1028-0036,SOUTH,Mbalanguzi,Health post - MoH,37.5,1.59,35.91,4
1028-0037,SOUTH,Thekerani,Health centre - MoH,76,6.49,69.51,4
1028-0038,SOUTH,Nchima,Health centre - Private,55,0.62,54.38,4
1028-0039,SOUTH,Conforzi,Health centre - Private,24,1.79,22.21,4
1028-0040,SOUTH,Namalime,Health post - MoH,85,3.09,81.91,4
1028-0041,SOUTH,Zowa,Health centre - MoH,76,6.17,69.83,4
1028-0042,SOUTH,Sandama,Health post - MoH,17,2.84,14.16,4
1028-0043,SOUTH,Chipho,Health centre - CHAM,169,2.99,166.01,4
1028-0044,SOUTH,Mapanga,Health centre - MoH,55,4.82,50.18,4
