Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1021-0025,SOUTH,Domasi Rural Hospital,Rural hospital - MoH,160,12.01,147.99,4
1021-0026,SOUTH,Parker Sharp,Health centre - CHAM,24,4.62,19.38,4
1021-0027,SOUTH,Zomba Police,Hospital - Private,55,3.91,51.09,4
1021-0028,SOUTH,Zomba City Clinic,Health centre - MoH,55,21.76,33.24,4
1021-0029,SOUTH,Chancellor College,Dispensary - Local Government,24,3.12,20.88,4
1021-0030,SOUTH,Zomba Banja La Mtsogolo,Health centre - Private,55,2.49,52.51,4
1021-0031,SOUTH,State House,Dispensary - Local Government,55,0.12,54.88,4
1021-0032,SOUTH,Thondwe,Health centre - MoH,160,27.26,132.74,4
1021-0033,SOUTH,Naisi,Health centre - MoH,55,7.45,47.55,4
1021-0034,SOUTH,Chawe Forest,Health centre - Private,24,0.22,23.78,4
1021-0035,SOUTH,Matiya,Health centre - CHAM,16,17.26,-1.26,2
1021-0036,SOUTH,Matawale,Health centre - MoH,105,8.94,96.06,4
1021-0037,SOUTH,Chisi,Health centre - MoH,24,2.11,21.89,4
1021-0038,SOUTH,Chinguma,Health post - MoH,24,0.92,23.08,4
1021-0039,SOUTH,Ngotangota,Health post - MoH,24,0.6,23.4,4
1021-0040,SOUTH,Chisoni,Health post - MoH,24,0.35,23.65,4
1022-0001,SOUTH,South Regional vaccine store,Regional vaccine store,5638.5,9426.79,-3788.29,0
1022-0002,SOUTH,CHILOMONI,Health centre - MoH,55,65.19,-10.19,1
1022-0003,SOUTH,Mitsidi Health Centre,Health centre - CHAM,24,37.97,-13.97,0
1022-0004,SOUTH,Sanjika dispensary,Dispensary - MoH,24,0.32,23.68,4
1022-0005,SOUTH,Ndirande Health Centre,Health centre - MoH,105,100.86,4.14,2
1022-0006,SOUTH,Soche health centre,Health centre - MoH,60,7.54,52.46,4
1022-0007,SOUTH,Madziabango,Health centre - MoH,24,5.03,18.97,4
1022-0008,SOUTH,St Vincent,Health centre - CHAM,24,7.3,16.7,4
1022-0009,SOUTH,Mpemba,Health centre - MoH,105,28.49,76.51,4
1022-0010,SOUTH,Bangwe,Health centre - MoH,105,103.14,1.86,2
1022-0011,SOUTH,Limbe Health Centre,Health centre - MoH,160,54.7,105.3,4
1022-0012,SOUTH,Chimembe Health Centre,Health centre - MoH,24,10.32,13.68,4
1022-0013,SOUTH,Chabvala Health Centre,Health centre - MoH,24,6.92,17.08,4
1022-0014,SOUTH,Chikowa Health Centre,Health centre - MoH,55,15.59,39.41,4
1022-0015,SOUTH,Dziwe Health Centre,Health centre - MoH,55,8.34,46.66,4
1022-0016,SOUTH,Chileka SDA Clinic,Health centre - CHAM,55,11.94,43.06,4
1022-0017,SOUTH,Chileka Health Centre,Health centre - MoH,131,13.45,117.55,4
1022-0018,SOUTH,Pensulo health centre,Health centre - MoH,24,3.53,20.47,4
1022-0019,SOUTH,Zingwangwa health centre,Health centre - MoH,165,67.33,97.67,4
1022-0020,SOUTH,Kanjedza Police,Health centre - Private,55,1.58,53.42,4
1022-0021,SOUTH,Mlambe mission hospital,Hospital - CHAM,55,29.95,25.05,4
1022-0022,SOUTH,Makata health centre,Health centre - MoH,55,18.95,36.05,4
1022-0023,SOUTH,Lirangwe health centre,Health centre - MoH,24,13.97,10.03,4
1022-0024,SOUTH,Namikoko health centre,Health centre - MoH,24,3.49,20.51,4
1022-0025,SOUTH,Lundu health centre,Health centre - MoH,55,10.42,44.58,4
1022-0026,SOUTH,Mdeka heath centre,Health centre - MoH,76,15.26,60.74,4
1022-0027,SOUTH,Souyh Lunzu health centre,Health centre - MoH,55,42.37,12.63,3
1022-0028,SOUTH,Blantyre DHO Vaccine store,District vaccine store,544,99.15,444.85,4
1022-0029,SOUTH,Qeen Elizabeth Central Hospital,Central hospital - MoH,55,105.17,-50.17,0
1022-0030,SOUTH,Blantyre Adventist hospital,Hospital - Private,55,4.83,50.17,4
1022-0031,SOUTH,Soche SDA Clinic,Health centre - CHAM,55,0.34,54.66,4
1022-0032,SOUTH,Kanjedza Medical Clinic,Health centre - Private,55,0.47,54.53,4
1022-0033,SOUTH,Lafarge Cement Clinic,Health centre - Private,55,0.32,54.68,4
1022-0034,SOUTH,Blantyre City Assembly Clinic,Health centre - Private,110,175.89,-65.89,0
1022-0035,SOUTH,Malabada health centre,Health centre - CHAM,0,1.43,-1.43,0
1022-0036,SOUTH,Mtengo umodzi private hospital,Hospital - Private,55,0.18,54.82,4
1022-0037,SOUTH,Lunzu BLM Clinic,Health centre - Private,55,4.22,50.78,4
1022-0038,SOUTH,Blantyre DHO Mobile Clinic,District hospital - MoH,60,12.88,47.12,4
1022-0039,SOUTH,Ebenezer Private Clinic,Health centre - Private,55,0.57,54.43,4
1022-0040,SOUTH,Elimu Private Clinic,Health centre - Private,55,0.57,54.43,4
1022-0041,SOUTH,Family health Clinic,Health centre - Private,0,6.56,-6.56,0
1022-0042,SOUTH,Lungu Private Clinic,Health centre - Private,55,4.95,50.05,4
1022-0043,SOUTH,Malamulo Day Clinic,Health centre - Private,55,5.72,49.28,4
1022-0044,SOUTH,Mwaiwathu Private Hospital,Hospital - Private,55,4.92,50.08,4
1023-0000,SOUTH,Chikhwawa District Vaccine Store,District vaccine store,105,232.26,-127.26,0
1023-0001,SOUTH,Chikwawa District Hospital,District hospital - MoH,0,16.51,-16.51,0
1023-0002,SOUTH,Kasinthula Health Centre,Health centre - MoH,55,6.22,48.78,4
1023-0003,SOUTH,Dolo Health Centre,Health centre - MoH,55,20,35,4
1023-0004,SOUTH,Thendo Health Post,Health post - MoH,0,1.57,-1.57,0
1023-0005,SOUTH,Konzere Health Post,Health post - MoH,0,2.02,-2.02,0
1023-0006,SOUTH,Mgabu Rural Hospital,Rural hospital - MoH,60,30.36,29.64,4
1023-0007,SOUTH,Montfort Rural Hospital,Hospital - CHAM,105,36.39,68.61,4
1023-0008,SOUTH,Kakoma Health centre,Health centre - MoH,55,11.52,43.48,4
1023-0009,SOUTH,Misomali Health Centre,Health centre - CHAM,0,4.06,-4.06,0
1023-0010,SOUTH,Chapananga Health Centre,Health centre - MoH,0,7.22,-7.22,0
1023-0011,SOUTH,Bereu Dispensary,Dispensary - MoH,55,8.61,46.39,4
1023-0012,SOUTH,Chithumba Health Centre,Health centre - MoH,0,6,-6,0
1023-0013,SOUTH,Gaga Health Centre,Health centre - MoH,18,8.58,9.42,4
1023-0014,SOUTH,Chang'ambika Health Centre,Health centre - MoH,55,3.88,51.12,4
1023-0015,SOUTH,Gola Health Centre,Health centre - MoH,85,3.16,81.84,4
1023-0016,SOUTH,Ndakwera Health Centre,Health centre - MoH,55,8.61,46.39,4
1023-0017,SOUTH,Mandrade Health Post,Health post - MoH,55,3.53,51.47,4
1023-0018,SOUTH,Illovo Factory,Health centre - Private,55,0.93,54.07,4
1023-0019,SOUTH,Kalulu Clinic,Health centre - Private,55,2.06,52.94,4
1023-0020,SOUTH,Mwanza Clinic,Health centre - Private,55,2.01,52.99,4
1023-0021,SOUTH,Mangulenje Clinic,Health centre - Private,55,1.52,53.48,4
1023-0022,SOUTH,Mkombezi clinic,Health centre - Private,55,1.32,53.68,4
1023-0023,SOUTH,Alimenda Clinic,Health centre - Private,55,1.5,53.5,4
1023-0024,SOUTH,Lengwe Clinic,Health centre - Private,55,0.8,54.2,4
1023-0025,SOUTH,Chipwaira Health Centre,Health centre - MoH,55,12.6,42.4,4
1023-0026,SOUTH,Therere Health Post,Health post - MoH,0,5.66,-5.66,0
1023-0027,SOUTH,Mkumaniza Health Centre,Health centre - MoH,55,6.08,48.92,4
1023-0028,SOUTH,Kapichira Clinic,Health centre - Private,55,2.13,52.87,4
1023-0029,SOUTH,Mfera Health Centre,Health centre - MoH,55,14.81,40.19,4
1023-0030,SOUTH,Mapelera Health Health,Health centre - MoH,55,6.76,48.24,4
1023-0031,SOUTH,Mkhathe Health Post,Health post - MoH,0,7.89,-7.89,0
1023-0032,SOUTH,Makhwira Health Centre,Health centre - MoH,55,29.93,25.07,4
1023-0033,SOUTH,Mitondo Health Post,Health post - MoH,55,12.44,42.56,4
1023-0034,SOUTH,Kavalo Health Post,Health post - MoH,0,2.24,-2.24,0
1023-0035,SOUTH,Kubalalika Health Post,Health post - MoH,0,3.8,-3.8,0
1023-0036,SOUTH,Saopa Health Post,Health post - MoH,0,2.84,-2.84,0
1023-0037,SOUTH,Hunger Project Health Post,Health centre - Private,55,13.55,41.45,4
1023-0038,SOUTH,Mafale Dispensary,Dispensary - MoH,0,5.44,-5.44,0
1024-0000,SOUTH,CHIRADZULU DISTRICT VACCINE STORE,District vaccine store,275,153.96,121.04,4
1024-0001,SOUTH,CHIRADZULU DISTRICT HOSPITAL,District hospital - MoH,55,12.84,42.16,4
1024-0002,SOUTH,St JOSEPH MISSION HOSPITAL,Hospital - CHAM,60,23.42,36.58,4
1024-0003,SOUTH,PIM CHAM HEALTH CENTRE,Health centre - CHAM,55,10.19,44.81,4
1024-0004,SOUTH,NDUNDE HEALTH CENTRE,Health centre - MoH,24,8.96,15.04,4
1024-0005,SOUTH,MILEPA HEALTH CENTRE,Health centre - MoH,55,8.24,46.76,4
1024-0006,SOUTH,MAUWA HEALTH CENTRE,Health centre - MoH,55,10.78,44.22,4
1024-0007,SOUTH,MBULUMBUZI HEATH CENTRE,Health centre - MoH,24,8.21,15.79,4
1024-0008,SOUTH,CHITERA HEALTH CENTRE,Health centre - MoH,55,7.25,47.75,4
1024-0009,SOUTH,NAMADZI HEALTH CENTRE,Health centre - MoH,170,12.45,157.55,4
1024-0010,SOUTH,BILALO PVT CLINIC,Health centre - Private,55,10.14,44.86,4
1024-0011,SOUTH,MWANJE HEALTH POST,Health post - MoH,24,5.63,18.37,4
1024-0012,SOUTH,THUMBWE HEALTH CENTRE,Dispensary - MoH,79,13.62,65.38,4
1024-0013,SOUTH,NAMITAMBO HEALTH CENTRE,Health centre - MoH,55,19.17,35.83,4
1024-0014,SOUTH,NKALO HEALTH CENTRE,Health centre - MoH,79,16.94,62.06,4
1025-0000,SOUTH,Mwanza District Hospital,District hospital - MoH,0,24.85,-24.85,0
1025-0001,SOUTH,Thambani Health Centre,Health centre - MoH,55,8.24,46.76,4
1025-0002,SOUTH,Mwanza District Vaccine Store,District vaccine store,189,48.9,140.1,4
1025-0003,SOUTH,Kunenekude Health Centre,Health centre - MoH,55,6.44,48.56,4
1025-0004,SOUTH,Tulonkhondo Health Cetre,Health centre - MoH,55,7.68,47.32,4
1026-0000,SOUTH,Matandani,Health centre - CHAM,24,4.64,19.36,4
1026-0001,SOUTH,Nsabwe,Health centre - CHAM,55,9.81,45.19,4
1026-0002,SOUTH,Ligowe,Dispensary - MoH,24,7.57,16.43,4
1026-0003,SOUTH,Magaleta,Health centre - MoH,24,3.71,20.29,4
1026-0004,SOUTH,Chifunga,Health centre - MoH,55,5.92,49.08,4
1026-0005,SOUTH,Nkula Health Centre,Health centre - Private,55,1.05,53.95,4
1026-0006,SOUTH,Luwani Health Centre,Health centre - MoH,55,1.14,53.86,4
1026-0007,SOUTH,NENO DHO,District hospital - MoH,76,8.26,67.74,4
1026-0008,SOUTH,Neno Parish,Health centre - CHAM,55,6.7,48.3,4
1026-0009,SOUTH,Lisungwi,Rural hospital - MoH,55,8.64,46.36,4
1026-0010,SOUTH,Matope,Health centre - CHAM,55,8.03,46.97,4
1026-0011,SOUTH,Midzemba,Dispensary - MoH,55,7.13,47.87,4
1026-0012,SOUTH,Neno DHO,District vaccine store,76,56.61,19.39,4
1027-0001,SOUTH,Nsanje District Hospital,District hospital - MoH,76,18.73,57.27,4
1027-0002,SOUTH,Nsanje District Vaccine Store,District vaccine store,210,128.03,81.97,4
1027-0003,SOUTH,Mbenje Health Centre,Health centre - MoH,75,11.24,63.76,4
1027-0004,SOUTH,Ndamera Health Centre,Health centre - MoH,75,10.06,64.94,4
1027-0005,SOUTH,Kamphata Health Post,Health post - MoH,0,4.11,-4.11,0
1027-0006,SOUTH,Nkhande Health Post,Health post - MoH,55,3.16,51.84,4
1027-0007,SOUTH,Lulwe Health Centre,Health centre - CHAM,55,3.4,51.6,4
1027-0008,SOUTH,Chingoma Health Post,Health post - MoH,0,3.64,-3.64,0
1027-0009,SOUTH,Chididi Health Centre,Health centre - CHAM,18,5.58,12.42,4
1027-0010,SOUTH,MKANGO HEALTH CENTRE,Health post - MoH,55,5.27,49.73,4
1027-0011,SOUTH,TENGANI HEALTH CENTRE,Health centre - MoH,45,12.66,32.34,4
1027-0012,SOUTH,NYAMITHUTHU HEALTH CENTRE,Health centre - MoH,55,4.44,50.56,4
1027-0013,SOUTH,PHOKERA HEALTH CENTRE,Health centre - MoH,55,4.93,50.07,4
1027-0014,SOUTH,KALEMBA COMMUNITY HOSPITAL,Community hospital - CHAM,60,12.3,47.7,4
1027-0015,SOUTH,SORGIN HEALTH CENTRE,Health centre - MoH,24,7.51,16.49,4
1027-0016,SOUTH,MITSAMVU HEALTH CENTRE,Health post - MoH,55,2.18,52.82,4
1027-0017,SOUTH,Kanyimbi,Health post - MoH,0,2.19,-2.19,0
1027-0018,SOUTH,Makhanga,Health centre - MoH,55,7.46,47.54,4
1027-0019,SOUTH,SANKHULANI HEALTH HEALTH CENTRE,Health centre - MoH,55,3.32,51.68,4
1027-0020,SOUTH,MCHACHA HEALTH CENTRE,Health post - MoH,55,3.26,51.74,4
1027-0021,SOUTH,TRINITY MISSION HOSPITAL,Hospital - CHAM,165,10.45,154.55,4
1027-0022,SOUTH,MULOLO HEALTH CENTRE,Health post - MoH,55,4.17,50.83,4
1027-0023,SOUTH,MASENJERE HEALTH CENTRE,Health centre - MoH,55,7.81,47.19,4
1028-0000,SOUTH,Thyolo District Hospital Vaccine Store,District vaccine store,79,314.55,-235.55,0
1028-0001,SOUTH,Thyolo DHO,District hospital - MoH,24,36.91,-12.91,0
1028-0002,SOUTH,Mangunda,Health centre - MoH,55,27.11,27.89,4
1028-0003,SOUTH,Mafis,Health centre - Private,0,1.2,-1.2,0
1028-0004,SOUTH,Khonjeni,Health centre - MoH,55,15.69,39.31,4
1028-0005,SOUTH,Makapwa,Health centre - Private,55,5.21,49.79,4
1028-0006,SOUTH,Mitengo,Health centre - CHAM,45,7.42,37.58,4
1028-0007,SOUTH,Bvumbwe,Health centre - MoH,37.5,28.39,9.11,4
1028-0008,SOUTH,Chimvu,Health centre - MoH,37.5,8.98,28.52,4
1028-0009,SOUTH,Mikolongwe,Health centre - MoH,17,13.77,3.23,3
1028-0010,SOUTH,Chingazi,Community hospital - CHAM,55,4.3,50.7,4
1028-0011,SOUTH,Chitsoka,Rural hospital - MoH,24,10.1,13.9,4
1028-0012,SOUTH,Chimaliro,Health centre - MoH,55,22.18,32.82,4
1028-0013,SOUTH,Satemwa,Health centre - Private,55,4.15,50.85,4
1028-0014,SOUTH,Namingomba,Health centre - Private,37.5,3.16,34.34,4
1028-0015,SOUTH,Mindali,Health centre - Private,24,0.8,23.2,4
1028-0016,SOUTH,Thunga,Health centre - Private,24,1.06,22.94,4
1028-0017,SOUTH,Kasembeleka,Health centre - Private,24,0.8,23.2,4
1028-0018,SOUTH,Mianga,Health centre - MoH,55,0.6,54.4,4
1028-0019,SOUTH,Mtambanyama,Health centre - CHAM,24,6.95,17.05,4
1028-0020,SOUTH,Sambankhanga,Health centre - Private,24,1.01,22.99,4
1028-0021,SOUTH,Makwasa,Health centre - Private,0,0.59,-0.59,0
1028-0022,SOUTH,Malamulo,Hospital - CHAM,76,19.72,56.28,4
1028-0023,SOUTH,ST Martins,Health centre - CHAM,55,10.98,44.02,4
1028-0024,SOUTH,Malosa Health Post,Health post - MoH,37.5,2.2,35.3,4
1028-0025,SOUTH,Changata,Health centre - MoH,55,10.85,44.15,4
1028-0026,SOUTH,Nsabwe,Health centre - MoH,24,4.07,19.93,4
1028-0027,SOUTH,Gombe,Health centre - MoH,55,6.71,48.29,4
1028-0028,SOUTH,Nkhataombere,Health post - MoH,37.5,5.54,31.96,4
1028-0029,SOUTH,Chisinkha,Health post - MoH,85,2.22,82.78,4
1028-0030,SOUTH,Makungwa,Health centre - MoH,76,9.07,66.93,4
1028-0031,SOUTH,Dzimbiri,Health post - MoH,55,12.13,42.87,4
1028-0032,SOUTH,Thomas,Health centre - CHAM,55,11.55,43.45,4
1028-0033,SOUTH,Chisunga,Health centre - Private,55,1.85,53.15,4
1028-0034,SOUTH,Amalika,Dispensary - MoH,24,16.58,7.42,4
1028-0035,SOUTH,Nangumi,Health post - MoH,85,1.14,83.86,4
1028-0036,SOUTH,Mbalanguzi,Health post - MoH,37.5,2.39,35.11,4
1028-0037,SOUTH,Thekerani,Health centre - MoH,76,9.75,66.25,4
1028-0038,SOUTH,Nchima,Health centre - Private,55,0.94,54.06,4
1028-0039,SOUTH,Conforzi,Health centre - Private,24,2.69,21.31,4
1028-0040,SOUTH,Namalime,Health post - MoH,85,4.64,80.36,4
1028-0041,SOUTH,Zowa,Health centre - MoH,76,9.27,66.73,4
1028-0042,SOUTH,Sandama,Health post - MoH,17,4.27,12.73,4
1028-0043,SOUTH,Chipho,Health centre - CHAM,169,4.49,164.51,4
1028-0044,SOUTH,Mapanga,Health centre - MoH,55,7.24,47.76,4
